 i, 2^i, T(2^i), i*2^i, c_i 
 1, 2, 2, 2, 1.000000 
 2, 4, 3, 8, 0.375000 
 3, 8, 5, 24, 0.208333 
 4, 16, 8, 64, 0.125000 
 5, 32, 20, 160, 0.125000 
 6, 64, 44, 384, 0.114583 
 7, 128, 81, 896, 0.090402 
 8, 256, 200, 2048, 0.097656 
 9, 512, 353, 4608, 0.076606 
 10, 1024, 711, 10240, 0.069434 
 11, 2048, 1401, 22528, 0.062189 
 12, 4096, 3102, 49152, 0.063110 
 13, 8192, 6806, 106496, 0.063909 
 14, 16384, 13400, 229376, 0.058419 
 15, 32768, 24593, 491520, 0.050035 
 16, 65536, 44224, 1048576, 0.042175 
 17, 131072, 56544, 2228224, 0.025376 

The Expected Value of c_i's is 0.070271 ms
The Variance of c_i's is 0.000589 ms^2
